Connectivity Profile,Mobile Money (%),Financial Institution (%),Difference (pp)
No Phone + No Internet,8.509656006631802,27.75583653667375,-19.246180530041947
No Phone + Internet,21.283970673994357,39.736913097720986,-18.45294242372663
Phone + No Internet,27.06197783009115,37.998987553318095,-10.937009723226947
Phone + Internet,41.46809055403129,50.64220765543775,-9.174117101406459
