Region,N,Internet OR,Internet p,Phone OR,Phone p
Latin America & Caribbean (excluding high income),14582,3.678873390222756,9.562737905124053e-27,2.86427581210222,3.798186883124044e-15
Sub-Saharan Africa (excluding high income),32882,2.635031086260136,8.137147274495349e-186,5.5824077544900685,0.0
Europe & Central Asia (excluding high income),5983,10.486050183762202,2.832705570257931e-20,1.7859148535667395,0.006262117861285722
East Asia & Pacific (excluding high income),8050,3.600737288626982,1.228337380511547e-18,6.204611826868782,8.284847534224187e-12
Middle East & North Africa (excluding high income),8020,3.2764137835796237,1.2730805403162782e-10,1.894452449159716,0.0010904694935831793
