Income Quintile,No Internet,Internet,Difference
1,15.946031246107728,34.06897909216903,18.122947846061304
2,19.555311064184863,38.2523966091143,18.697085544929433
3,22.31004147263624,39.48123814310327,17.17119667046703
4,24.540095354009942,42.75885872659316,18.218763372583222
5,24.686839481565944,45.52657320826828,20.83973372670234
